Ticker,Change%,RVOL,Last_Close,EMA_9,EMA_20,EMA_200,VWAP,MACD,MACD_Signal,Volume_Trend_Up,Asset
AAPL,"Ticker
AAPL    0.61
dtype: float64","Ticker
AAPL    0.74
dtype: float64","Ticker
AAPL    212.5
Name: 2025-04-30 00:00:00, dtype: float64",206.73,203.22,200.36,210.9,-1.1095,-3.7808,0,equity
AAVE-USD,"Ticker
AAVE-USD   -0.61
dtype: float64","Ticker
AAVE-USD    0.92
dtype: float64","Ticker
AAVE-USD    164.8
Name: 2025-05-01 00:00:00, dtype: float64",163.27,158.43,152.94,164.68,5.9467,4.1086,0,crypto
ADA-USD,"Ticker
ADA-USD   -1.51
dtype: float64","Ticker
ADA-USD    0.95
dtype: float64","Ticker
ADA-USD    0.69
Name: 2025-05-01 00:00:00, dtype: float64",0.69,0.68,0.66,0.68,0.0138,0.0091,0,crypto
ADBE,"Ticker
ADBE    1.08
dtype: float64","Ticker
ADBE    0.86
dtype: float64","Ticker
ADBE    374.98
Name: 2025-04-30 00:00:00, dtype: float64",363.47,359.17,356.78,371.51,-1.8988,-5.7261,0,equity
AI,"Ticker
AI   -2.22
dtype: float64","Ticker
AI    0.72
dtype: float64","Ticker
AI    22.01
Name: 2025-04-30 00:00:00, dtype: float64",21.54,20.99,20.57,21.85,0.2166,-0.1367,0,equity
AMD,"Ticker
AMD    1.34
dtype: float64","Ticker
AMD    0.68
dtype: float64","Ticker
AMD    97.35
Name: 2025-04-30 00:00:00, dtype: float64",94.06,92.62,91.68,95.59,-0.8585,-2.1308,0,equity
AMZN,"Ticker
AMZN   -1.58
dtype: float64","Ticker
AMZN    0.97
dtype: float64","Ticker
AMZN    184.42
Name: 2025-04-30 00:00:00, dtype: float64",183.41,181.73,180.74,182.77,-1.4187,-3.007,0,equity
AR-USD,"Ticker
AR-USD    3.14
dtype: float64","Ticker
AR-USD    1.08
dtype: float64","Ticker
AR-USD    7.01
Name: 2025-05-01 00:00:00, dtype: float64",6.7,6.38,6.05,6.98,0.3888,0.2587,0,crypto
ASML,"Ticker
ASML    0.3
dtype: float64","Ticker
ASML    0.52
dtype: float64","Ticker
ASML    668.08
Name: 2025-04-30 00:00:00, dtype: float64",662.16,656.36,650.45,663.01,2.5863,-0.7468,0,equity
ATOM-USD,"Ticker
ATOM-USD   -1.61
dtype: float64","Ticker
ATOM-USD    0.79
dtype: float64","Ticker
ATOM-USD    4.31
Name: 2025-05-01 00:00:00, dtype: float64",4.38,4.34,4.28,4.31,0.0352,0.0194,0,crypto
AVAX-USD,"Ticker
AVAX-USD   -2.67
dtype: float64","Ticker
AVAX-USD    1.06
dtype: float64","Ticker
AVAX-USD    20.98
Name: 2025-05-01 00:00:00, dtype: float64",21.46,21.15,20.73,20.96,0.4028,0.318,0,crypto
AVGO,"Ticker
AVGO    0.68
dtype: float64","Ticker
AVGO    0.78
dtype: float64","Ticker
AVGO    192.47
Name: 2025-04-30 00:00:00, dtype: float64",185.45,180.37,175.3,189.9,5.4063,2.9953,0,equity
BBAI,"Ticker
BBAI   -4.75
dtype: float64","Ticker
BBAI    0.86
dtype: float64","Ticker
BBAI    3.41
Name: 2025-04-30 00:00:00, dtype: float64",3.18,3.02,2.92,3.36,0.0886,-0.0246,1,equity
BTC-USD,"Ticker
BTC-USD    0.03
dtype: float64","Ticker
BTC-USD    0.98
dtype: float64","Ticker
BTC-USD    94308.66
Name: 2025-05-01 00:00:00, dtype: float64",93222.36,91474.35,89503.15,94271.03,2589.3459,1974.8978,0,crypto
CRM,"Ticker
CRM    0.35
dtype: float64","Ticker
CRM    0.68
dtype: float64","Ticker
CRM    268.71
Name: 2025-04-30 00:00:00, dtype: float64",261.15,257.55,255.2,266.86,0.0441,-2.7703,0,equity
DAI-USD,"Ticker
DAI-USD   -0.01
dtype: float64","Ticker
DAI-USD    0.4
dtype: float64","Ticker
DAI-USD    1.0
Name: 2025-05-01 00:00:00, dtype: float64",1.0,1.0,1.0,1.0,-0.0,-0.0001,0,crypto
DOT-USD,"Ticker
DOT-USD   -1.39
dtype: float64","Ticker
DOT-USD    0.89
dtype: float64","Ticker
DOT-USD    4.09
Name: 2025-05-01 00:00:00, dtype: float64",4.11,4.03,3.93,4.08,0.1274,0.1043,0,crypto
ETH-USD,"Ticker
ETH-USD   -0.14
dtype: float64","Ticker
ETH-USD    1.03
dtype: float64","Ticker
ETH-USD    1796.6
Name: 2025-05-01 00:00:00, dtype: float64",1770.73,1733.46,1694.04,1795.94,46.6356,31.3627,0,crypto
GOOGL,"Ticker
GOOGL   -0.85
dtype: float64","Ticker
GOOGL    0.92
dtype: float64","Ticker
GOOGL    158.8
Name: 2025-04-30 00:00:00, dtype: float64",157.72,156.11,154.6,157.82,1.06,0.1521,0,equity
INTC,"Ticker
INTC   -1.18
dtype: float64","Ticker
INTC    0.61
dtype: float64","Ticker
INTC    20.1
Name: 2025-04-30 00:00:00, dtype: float64",20.19,20.12,20.13,19.94,-0.2977,-0.4187,0,equity
LDO-USD,"Ticker
LDO-USD    1.13
dtype: float64","Ticker
LDO-USD    1.05
dtype: float64","Ticker
LDO-USD    0.84
Name: 2025-05-01 00:00:00, dtype: float64",0.82,0.8,0.77,0.83,0.0272,0.017,0,crypto
LINK-USD,"Ticker
LINK-USD   -1.42
dtype: float64","Ticker
LINK-USD    0.9
dtype: float64","Ticker
LINK-USD    14.41
Name: 2025-05-01 00:00:00, dtype: float64",14.47,14.14,13.73,14.37,0.4682,0.3586,0,crypto
META,"Ticker
META   -0.98
dtype: float64","Ticker
META    1.42
dtype: float64","Ticker
META    549.0
Name: 2025-04-30 00:00:00, dtype: float64",537.08,532.16,530.86,542.56,-6.4133,-12.1577,1,equity
MSFT,"Ticker
MSFT    0.31
dtype: float64","Ticker
MSFT    1.35
dtype: float64","Ticker
MSFT    395.26
Name: 2025-04-30 00:00:00, dtype: float64",386.11,381.81,378.39,392.12,3.0182,0.3534,1,equity
MU,"Ticker
MU    0.09
dtype: float64","Ticker
MU    0.72
dtype: float64","Ticker
MU    76.95
Name: 2025-04-30 00:00:00, dtype: float64",75.37,73.92,73.0,75.86,-1.6146,-3.0074,0,equity
NEAR-USD,"Ticker
NEAR-USD   -1.93
dtype: float64","Ticker
NEAR-USD    0.84
dtype: float64","Ticker
NEAR-USD    2.48
Name: 2025-05-01 00:00:00, dtype: float64",2.48,2.41,2.32,2.48,0.0991,0.0724,0,crypto
NVDA,"Ticker
NVDA   -0.09
dtype: float64","Ticker
NVDA    0.74
dtype: float64","Ticker
NVDA    108.92
Name: 2025-04-30 00:00:00, dtype: float64",107.02,106.07,105.32,107.31,-0.1129,-0.8607,0,equity
PATH,"Ticker
PATH    1.02
dtype: float64","Ticker
PATH    0.79
dtype: float64","Ticker
PATH    11.94
Name: 2025-04-30 00:00:00, dtype: float64",11.34,11.04,10.79,11.79,0.2588,0.089,0,equity
PLTR,"Ticker
PLTR    2.03
dtype: float64","Ticker
PLTR    0.98
dtype: float64","Ticker
PLTR    118.44
Name: 2025-04-30 00:00:00, dtype: float64",108.11,101.78,95.78,115.92,7.3981,4.4279,0,equity
SMCI,"Ticker
SMCI   -11.5
dtype: float64","Ticker
SMCI    2.18
dtype: float64","Ticker
SMCI    31.86
Name: 2025-04-30 00:00:00, dtype: float64",34.07,33.66,33.33,30.88,0.0521,-0.2236,1,equity
SOL-USD,"Ticker
SOL-USD    0.96
dtype: float64","Ticker
SOL-USD    0.88
dtype: float64","Ticker
SOL-USD    147.83
Name: 2025-05-01 00:00:00, dtype: float64",146.83,144.37,141.13,147.91,4.4089,3.8422,0,crypto
TSLA,"Ticker
TSLA   -3.38
dtype: float64","Ticker
TSLA    0.98
dtype: float64","Ticker
TSLA    282.16
Name: 2025-04-30 00:00:00, dtype: float64",270.5,262.39,257.03,279.13,1.9565,-4.0051,0,equity
TSM,"Ticker
TSM    1.34
dtype: float64","Ticker
TSM    0.46
dtype: float64","Ticker
TSM    166.69
Name: 2025-04-30 00:00:00, dtype: float64",161.24,158.54,156.52,165.12,-0.1855,-2.2098,0,equity
UPST,"Ticker
UPST   -2.83
dtype: float64","Ticker
UPST    0.83
dtype: float64","Ticker
UPST    47.8
Name: 2025-04-30 00:00:00, dtype: float64",45.9,43.97,42.29,47.24,0.7931,-0.4005,0,equity
USDC-USD,"Ticker
USDC-USD    0.0
dtype: float64","Ticker
USDC-USD    1.05
dtype: float64","Ticker
USDC-USD    1.0
Name: 2025-05-01 00:00:00, dtype: float64",1.0,1.0,1.0,1.0,0.0,-0.0,0,crypto
